BRA 4830,30,0
BRA 4830,6,0
45KVZ768,6,0
BRA 4830,24,75
VI 8700 ,26,23
BRA 6797,30,0
BRA 6797,6,0
VI 2462 ,26,0
VI 4462 ,26,99
BRA 6797,24,0
VI 8638 ,26,0
VI 4608 ,26,2
VI 3805 ,26,0
VI 3444 ,26,100
VI 5231 ,26,0
VI 2975 ,26,50
VI 2462 ,27,0
BRA 6797,25,0
PI 4432 ,667,0
PI 1947 ,667,0
BRA 3810,24,22
PI 4432 ,668,0
VI 8638 ,27,20
PI 1947 ,668,0
VI 5973 ,26,175
VI 5231 ,27,100
VI 5723 ,26,129
VI 4608 ,27,104
VI 3805 ,27,0
VI 2975 ,27,123
VI 3444 ,27,73
BRA 8843,24,103
BRA 2864,24,88
BRA 3919,24,20
VI 5730 ,26,200
VI 2262 ,26,157
VI 2124 ,26,0
VI 9626 ,26,189
VI 1566 ,26,24
VI 9626 ,27,10
VI 3064 ,26,50
VI 2124 ,27,0
VI 8497 ,26,128
BRA 3379,24,0
BRA 3189,24,15
VI 8772 ,27,29
43GMM680,4,20
BRA 3379,25,0
BRA 3189,25,0
PI 2159 ,27,0
BRA 7307,24,0
PI 2159 ,667,29
BRA 3626,24,0
PI 8727 ,667,3
PI 2159 ,668,0
VI 6361 ,26,0
BRA 3626,25,0
BRA 7307,25,0
VI 1402 ,26,0
VI 6361 ,27,0
BRA 5637,24,0
40UHN755,206,0
VI 4142 ,26,0
BRA 5637,25,0
VI 1402 ,27,0
VI 2566 ,26,55
VI 2566 ,27,0
VI 4142 ,27,0
25IIQ406,105,5
BRA 8110,24,0
BRA 2745,24,170
VI 5302 ,26,0
VI 5302 ,27,0
BRA 8110,25,0
PI 9868 ,667,0
PI 3673 ,667,0
PI 8402 ,667,0
LSPD 654,211,5
PI 3673 ,668,0
PI 9868 ,668,7
PI 8402 ,668,0
PI 4357 ,667,5
PI 4357 ,668,0
BRA 4354,24,0
PI 2151 ,667,0
PI 2151 ,668,0
BRA 8453,24,0
BRA 2937,24,0
BRA 4354,25,0
BRA 8453,25,0
BRA 2937,25,0
VI 2334 ,26,0
VI 2334 ,6,0
VI 2334 ,101,0
69CSR862,105,0
69CSR862,206,0
VI 2334 ,27,0
BRA 7679,6,5
BRA 7679,30,8
BRA 6906,24,0
BRA 7679,24,0
BRA 7679,25,0
BRA 6906,25,0
BRA 7299,24,0
PI 2637 ,667,0
PI 4042 ,667,31
02YPY499,667,20
PI 2637 ,668,0
BRA 5094,24,56
BRA 7299,25,0
BRA 5094,25,0
VI 9277 ,30,0
VI 9277 ,26,14
VI 8034 ,26,0
VI 5001 ,26,0
BRA 4057,24,150
BRA 7335,24,200
BRA 4057,30,0
BRA 4057,6,0
BRA 7335,6,0
VI 8034 ,27,0
VI 5001 ,27,0
BRA 5231,24,200
PI 5281 ,667,0
BRA 3141,24,0
VI 6048 ,26,62
BRA 2292,24,51
PI 5281 ,668,0
BRA 3141,25,0
BRA 2292,25,0
BRA 2729,24,0
PI 2644 ,667,20
BRA 2729,25,0
VI 6146 ,26,0
VI 5404 ,26,53
VI 3611 ,667,0
BRA 6656,24,173
VI 7068 ,26,0
BRA 7354,25,0
BRA 3427,24,136
BRA 4667,24,200
BRA 7059,24,0
VI 8286 ,26,0
VI 8620 ,26,0
BRA 7059,25,0
BRA 3065,25,0
BRA 3065,24,0
VI 8286 ,27,0
VI 7068 ,27,0
BRA 6790,24,0
VI 8620 ,27,88
PI 3659 ,667,0
BRA 8051,24,0
BRA 7395,24,0
PI 9551 ,667,0
PI 5266 ,667,0
PI 3659 ,668,0
PI 5266 ,668,0
PI 9551 ,668,0
BRA 6790,25,150
BRA 7395,25,0
BRA 8051,25,0
HUNT 810,23,0
HUNT 222,23,0
BRA 2644,24,156
BRA 2644,25,30
BRA 1015,24,81
BRA 8938,24,0
BRA 6370,24,161
BRA 8938,25,200
BRA 6370,25,32
BRA 1964,24,0
BRA 4693,24,0
BRA 1964,25,0
BRA 4693,25,0
PI 2720 ,667,0
PI 2720 ,668,0
PI 5337 ,667,2
BRA 4321,24,0
83JET875,101,1
83JET875,6,3
83JET875,30,2
VI 1235 ,26,49
BRA 8107,24,0
BRA 4321,25,0
BRA 4480,24,0
BRA 5243,24,0
BRA 6009,24,0
BRA 8107,25,0
BRA 5243,25,38
BRA 4480,25,0
BRA 6009,25,0
LSPD 301,210,1
LSPD 301,211,1
83FQN275,4,19
84OTP826,4,0
BRA 5837,24,0
BRA 5837,25,0
BRA 2946,24,0
BRA 8385,24,0
VI 3369 ,26,0
PI 1836 ,667,0
VI 3369 ,27,0
BRA 8385,25,0
BRA 2672,24,0
PI 1836 ,668,0
BRA 2946,25,0
BRA 2189,24,0
BRA 6146,24,0
BRA 6985,24,170
BRA 2152,24,170
VI 1412 ,26,170
BRA 6146,25,0
BRA 2189,25,183
BRA 6985,25,9
BRA 2152,25,30
VI 5291 ,26,27
PI 6974 ,667,9
BRA 3442,24,0
VI 1790 ,26,43
VI 6090 ,26,0
BRA 3442,25,150
01AOA875,26,3
VI 4907 ,26,0
VI 4331 ,26,4
VI 6090 ,27,0
VI 4907 ,27,0
VI 4331 ,27,0
VI 7954 ,26,170
VI 7954 ,27,7
BRA 6395,24,73
BRA 3283,24,126
BRA 2554,24,5
BRA 1233,24,0
BRA 3283,25,0
BRA 1233,25,0
BRA 2554,25,0
VI 9448 ,26,181
VI 5022 ,26,16
VI 5022 ,27,14
VI 9448 ,27,19
05JLP929,30,10
05JLP929,6,10
VI 5849 ,26,0
LSPD 710,210,1
LSPD 710,211,1
VI 5849 ,27,0
BRA 4875,24,0
BRA 4875,25,0
VI 4366 ,26,0
VI 4366 ,27,0
VI 4366 ,30,0
VI 4366 ,102,0
VI 4366 ,101,0
VI 4366 ,6,0
BRA 3281,24,0
22NRQ598,23,1
BRA 3281,25,0
BRA 3281,206,0
61MZT834,8,0
87QAR952,8,15
61MZT834,4,0
03LOC875,4,0
03LOC875,8,0
BRA 1189,24,0
BRA 1189,25,39
BRA 8291,24,0
BRA 1471,24,42
VI 1596 ,26,200
BRA 8291,25,0
VI 6676 ,26,44
BRA 1952,24,0
BRA 7353,24,200
04SED289,4,20
BRA 1952,25,0
VI 9027 ,26,194
69DHT835,4,16
VI 5250 ,26,138
PI 7291 ,667,12
PI 3734 ,667,40
PI 7291 ,668,2
VI 9027 ,27,6
BRA 5984,24,0
BRA 5984,25,183
PI 5525 ,667,0
22GOX409,30,0
22GOX409,6,0
PI 1262 ,667,0
BRA 5224,24,28
PI 5525 ,668,0
BRA 5224,6,14
BRA 5224,30,9
PI 1995 ,667,0
PI 1262 ,668,0
VI 4100 ,26,0
BRA 5275,24,0
PI 2067 ,667,12
PI 1995 ,668,0
BRA 7400,24,0
BRA 8446,24,0
PI 1911 ,667,26
PI 1419 ,667,12
BRA 5275,25,0
PI 3159 ,667,40
VI 4100 ,27,0
BRA 8797,24,43
BRA 8446,25,0
BRA 7400,25,0
PI 2138 ,667,20
PI 2138 ,668,15
PI 1126 ,667,0
VI 9990 ,26,0
PI 1126 ,668,23
VI 9990 ,27,188
69OSH438,4,10
63ZPV524,4,6
63ZPV524,32,3
VI 6343 ,26,0
VI 1846 ,26,152
83FQN275,206,1
81HCF176,4,0
68YFC238,4,0
BRA 6313,24,68
PI 5966 ,667,40
VI 6618 ,26,0
VI 6618 ,27,0
PI 8934 ,667,2
BRA 5897,24,0
BRA 5897,25,0
PI 6106 ,667,32
VI 8656 ,26,168
PI 5849 ,667,0
PI 5849 ,668,0
VI 8656 ,27,0
AMB1552 ,205,0
PI 7238 ,667,31
BRA 2752,24,0
BRA 2752,25,0
VI 9013 ,26,0
PI 4945 ,667,0
VI 9013 ,27,0
PI 4945 ,668,39
BRA 7020,24,0
VI 2204 ,26,158
VI 2868 ,26,150
VI 9013 ,30,0
VI 9013 ,6,0
VI 9013 ,206,0
BRA 2634,24,0
PI 5846 ,667,0
VI 8280 ,26,182
PI 9978 ,667,8
BRA 7020,25,0
BRA 2222,24,70
PI 5846 ,668,0
PI 2141 ,667,0
PI 2141 ,668,0
PI 9978 ,668,0
BRA 2634,25,0
VI 2868 ,27,50
BRA 4545,24,118
BRA 2222,25,110
PI 8626 ,667,26
BRA 5901,24,0
VI 1472 ,26,0
VI 2553 ,26,24
BRA 5901,25,0
BRA 5308,24,0
VI 8942 ,26,83
BRA 8244,24,57
BRA 1453,24,93
BRA 5395,24,200
VI 2553 ,27,0
BRA 1453,30,6
VI 1472 ,27,0
BRA 1407,24,6
BRA 3317,24,0
BRA 4473,24,0
BRA 5308,25,0
PI 6312 ,667,0
BRA 1453,25,80
PI 6312 ,668,0
BRA 4473,25,0
VI 2553 ,30,9
BRA 4473,30,0
BRA 4473,6,0
BRA 7088,24,0
VI 2724 ,26,0
BRA 3317,25,0
BRA 7818,24,0
VI 2092 ,26,0
VI 6015 ,26,0
BRA 7088,25,0
VI 2051 ,26,136
VI 2724 ,27,0
VI 2092 ,27,0
BRA 7818,25,0
VI 2553 ,6,11
VI 2051 ,27,33
VI 6015 ,27,0
BRA 2648,24,0
BRA 7688,24,0
BRA 2740,24,71
BRA 7688,25,0
BRA 4794,24,0
BRA 1681,24,180
BRA 5198,24,0
VI 3421 ,26,6
VI 5903 ,26,24
BRA 2648,25,0
VI 1558 ,26,0
VI 3239 ,26,0
VI 9390 ,26,100
VI 3239 ,27,0
BRA 4794,25,0
BRA 6909,24,147
VI 5713 ,26,0
UBER 687,206,0
UBER 687,6,0
UBER 687,105,0
BRA 3838,24,0
VI 4706 ,26,0
VI 5713 ,27,0
VI 4706 ,102,0
VI 4706 ,101,0
VI 4706 ,206,0
VI 4706 ,27,136
BRA 6196,24,0
BRA 8231,24,0
BRA 1080,24,0
BRA 6196,25,0
VI 1558 ,27,0
BRA 3838,25,0
BRA 1080,25,0
BRA 8231,25,0
VI 3373 ,26,102
VI 3156 ,26,192
VI 8945 ,26,0
VI 3504 ,26,0
VI 3373 ,27,78
VI 8945 ,27,0
83BVH842,103,0
83BVH842,105,0
VI 3156 ,27,4
PI 9155 ,667,0
PI 9155 ,668,0
BRA 6971,24,0
62IVM244,4,0
BRA 6971,25,0
62IVM244,8,0
BRA 6578,24,0
BRA 6578,25,0
BRA 8031,24,0
BRA 8031,25,0
PI 4379 ,667,0
PI 9882 ,667,0
PI 4379 ,668,0
PI 9882 ,668,0
BRA 4743,24,0
BRA 6249,24,13
VI 5531 ,26,0
VI 7725 ,26,96
VI 5531 ,30,0
VI 5531 ,6,0
BRA 6249,25,187
VI 5531 ,27,0
PI 6695 ,667,39
VI 1240 ,26,200
BRA 8916,24,43
VI 1263 ,26,0
VI 8683 ,26,0
VI 4834 ,26,0
BRA 4924,24,0
BRA 4924,6,0
BRA 4924,30,0
27ALX620,6,0
VI 1263 ,27,0
VI 8683 ,27,0
BRA 4924,25,180
VI 4834 ,27,0
63YRW799,30,0
63YRW799,6,0
22FUR541,23,0
VI 4361 ,27,0
PI 1535 ,667,0
VI 4848 ,26,192
VI 5229 ,26,47
VI 2596 ,26,91
VI 3093 ,26,6
VI 7864 ,26,0
VI 2596 ,27,49
60KVT482,23,0
VI 4848 ,27,4
VI 6138 ,26,0
VI 2482 ,26,0
VI 7864 ,27,0
VI 7609 ,26,0
VI 6138 ,27,0
VI 2482 ,27,0
67IBS621,4,0
BRA 7962,24,0
67ZJG680,211,1
VI 7609 ,27,0
VI 8338 ,26,17
BRA 7962,6,5
BRA 7962,30,8
BRA 7962,25,0
BRA 7962,206,1
VI 7609 ,30,0
VI 7609 ,6,0
VI 7609 ,206,0
PI 9407 ,667,0
BRA 4593,27,9
